Product,Consumer Complaint
Debt collection,"Hunter Warfield has be unable to provide proper documentation validating this account. 
I am seeking immediate action and for them to remove this inaccurate and negative information permanently from my credit report. I have asked for the company to send me verification of my original lease and all I have received is a copy of a lease without signatures from XX/XX/XXXX-XX/XX/XXXX. I have sent Validation Letters on XX/XX/XXXX ; and XX/XX/XXXX for this company to provide proper validation and I have yet received a response. This company has constantly called my personal phone lines and this is prohibited in the State of Texas. This account is effecting negatively on all XXXX credit reporting agencies. I have already notified all XXXX credit bureaus regarding this issue."
Debt collection,I sent a cease and desist letter to a medical debt collection agency for bills for my recently deceased husband which I ca n't afford to pay. A certified mail receipt payment was made and I never got a receipt back. Now I get 2 robo collection calls a day 4 days out of the week. I want the calls to stop.
Mortgage,XX/XX/XXXX my mortgage company Nationstar sent me a letter stating I was behind in my mortgage by few payments. I had just completed a chapter XXXX bankruptcy in XXXX. My house as well as my trustee payments were under strict compliance. I called Nationstar to resolve this issue but no one I spoke to could give me the dates of the missed payments. I spoke to a Hud councilor who referred me to the CFPB. I submitted a complaint ( case # XXXX XXXX on XXXX. Nationstar researched the problem and found XXXX payments that should have been credited to my account from their bankruptcy department. When I logged on to my account they had credited me with XXXX payments but then had taken one back out. I have since contacted the Attorney General for the state of XXXX as well as the Attorney General of XXXX. Nationstar has replied that now my missing payments were from around XX/XX/XXXX. XX/XX/XXXX was involved in a motion for relief during my bankruptcy. My previous mortgage co. XXXX had changed my house pymt but had not included the escrow amount. When XXXX realized the mistake they filed a motion for relief. I was instructed by my attorney to hold my house payments until the outcome of the hearing. The outcome that was settled on was for me to remit a payment of XXXX and to make XXXX additional pymts of XXXX each month beginning on XXXX/XXXX/XXXX. All payments were sent to and deposited by nationstar as they had purchased my mortgage at this time. I am not behind in my mortgage payments. Nationstar continues to send letters that I am behind and I just simply want them research this and get this issue resolved. I hope this information will help.
Credit reporting,"Dear Experian I am overly confused by the correspondence I have been receiving from not only your bureau, but the other XXXX bureaus also. I have a lot of items that are reporting inaccuracies, and your bureau has verified these accounts. I do n't understand how the disputing process works when you perform it, but I do believe you are doing something wrong on your end. Again, I am writing to dispute the following items to be DELETED from my credit report as soon as possible : XXXX XXXX XXXX XXXX XXXX Under the FCRA , I request an investigation on account type, name and number it does not match my documents. Please abolish this account for it 's errors. 

XXXX XXXX XXXX XXXX Please run a full investigation on collection including the account name, account number and type of collection and delete this collection for it 's mistakes Because it does not match my records."
Debt collection,"On XXXX XXXX, 2013 XXXX XXXX XXXX XXXX XXXX. Report false information to fair collections in and out. I responded to fair collections in and out, but asking them to validate the debt. In response they sent me a document with a list of charges that XXXX XXXX XXXX XXXX XXXX says that I owe. I called them and explained that this was not a proper validation of debt. They refused to validate the debt properly and placed the information on my credit report for collections. FCO is in violation of Texas property code Sec.XXXX. 
FRAUDULENT, DECEPTIVE, OR MISLEADINGREPRESENTATIONS. 
( XXXX ) failing to maintain a list of all business orprofessional names known to be used or formerly used by persons collecting consumer debts or attempting to collect consumer debts for the debt collector. FCO is not listing all the names of there client ( XXXX ) failing to disclose clearly in any communicationwith the debtor the name of the person to whom the debt has been assigned or is owed when making a demand for moneyThis collection is for a apartment complex. In order to properly validate the debt FCO is required by Texas property code to obtain information includes a copy of the lease, itemized charges, diligence to find a new tenant ( if appropriate ), Date and proof of the new tenant moving into the unit. 

XXXX XXXX ) using a written communication that fails toindicate clearly the name of the debt collector and the debtcollector 's street address or post office box and telephone number if the written notice refers to a delinquent consumer debtNo information about XXXX XXXX XXXX XXXX XXXX is listed on the verification of debt letter sent by FCO. 

I do not owe this company money."
Student loan,"My lender is Nelnet for Federal student loans. I did not choose this company, rather it was assigned to me. I have applied recently for refinance with another company but was denied. I have good credit and have never missed a payment. Over the past year, I have had multiple cases where my payment amount due changes without any notifcation. This can include my payment due amount not matching my statements, not matching between emails and on site and increasing month to month when I am on a graduated repayment plan ( this is supposed to increase every 2 years -- not monthly ). In addition, when I have reached out for clarification or to question these changes and increases, the company is not helpful and does not explain the differences or the reasoning to me. I do n't feel like my money is safe with the company and I do n't feel comfortable with an ever changing payment amount. It is hard to budget and to feel confident that I can pay my monthly payments when I can never plan on what is due as the amount can change even as quickly as the day before it is due."
Debt collection,"Additionally, believe it to be a scam and not a real debt. Called me on XX/XX/2017 & left a voice mail at XXXX. Stated it was a XXXX XXXX, a licensed courier for XXXX XXXX re : a court order for XXXX XXXX, last XXXX of the social security # ending in XXXX. Now holding documentation that clearly states to dispatch to residence or place of employment to service you paperwork. However I can grant you the next 48 hours to contact the filing party to obtain your voluntary statement of consent as well as the opportunity to place the stop order on my services. The telephone # to the company is XXXX. XXXX, when calling reference your pending docket # XXXX."
Debt collection,"I was never sent any bills, but a medical debt from 2011 for {$930.00} is on my credit report. I was XXXX years old in 2011 and on medical assistance for mental health issues. 

I asked the collections agency, Interstate Credit & Collections Agency to send me proof of financial obligation. They refused unless I gave them my financial information. I would like it removed from my credit report. They wo n't even tell me what it is for and I am not even sure it is real. I was denied private loan for college and a credit card. I was humiliated."
Credit reporting,"I mailed out a letter and followed the instructions precisely ; included a copy of my drivers license, proof of my social security number, and proof of my address, along with my letter asking for an investigation into numerous issues. That was two months ago. They have not responded to me."
Bank account or service,"This is my fifth complaint against Key Bank because of excessive overdraft fees. I am attaching documentation that shows how confusing and dishonest Key Bank 's posting practices are. Unfortunately, this kind of theft affects people like me who do not have assets and have poor credit. Otherwise, I would have an overdraft protection account and I would never incur these fees. This is not only about my funds being low, because actually my funds are n't low right now and I incurred the last XXXX overdraft notices with a positive balance! Now that 's Key Bank Magical Accounting for you! I 'm posting this now but i am accumulating some other concerns that I am noticing now that I am having to pay attention so closely to my account and not rely on Key Bank to do the math. Some of my items disappear from the ledger at times. The other thing that is happening now is that my pending items are coming out of pending status quickly. I will be addressing these things in future complaints. This is takes an incredible amount of my time. I am doing this for other folks who for various reasons are not able to study their accounts. There is no reason why the bank can not add and subtract well enough to keep track of people 's balances. I do n't even know how much I actually have in the bank now. I do n't know how to find out either. I have a ledger that I keep for my own records and it does not coincide with Key Bank 's accounting. Key Bank changes the order of debits and credits in order to receive overdraft funds from people who do not have assets or good credit in order to protect themselves from this stealing in which this bank participates. I have attached the overdraft notice that I received this morning XX/XX/XXXX. And I have attached the ledger from XX/XX/XXXX copied at several times during the day to show first that there is no record in the ledger itself of the XXXX that is credited to the account with the deposit that I made that morning. It shows up in the balance part of the ledger at the top of the page but not in the description. In addition, this same deposit that was made at the ATM disappears later in the day. as does the XXXX debit. Where do they go? There is a note that says that Key Bank is working on the account and some items might not be available, but the question is why would that deposit disappear when it was visible throughout the day as well as the XXXX charge. I have gotten XXXX overdrafts this week for moving money from my basic checking to the Hassle Free account which is my son 's account. They are both my accounts. I should not be penalized for moving my money around between accounts. So on XX/XX/XXXX I started the day with a positive balance and ended the day with a positive balance having deposited XXXX into my account. Yet I bounced XXXX items, though I was only charged for XXXX. this is very unclear unprofessional accounting. If I did not have direct deposits coming into this account, I would close it. And the thing about it is that it would not matter to key bank at all if they lost my business. They do not care about their customers as evidenced by the fact that I have spent a lot of time this week complaining because of their over draft practices and they keep overdrafting me even with a positive balance. Get it together Key Bank. Adding and Subtracting are basic math skills that you should have. Stop reordering items to benefit yourselves. Give people a break. Last month you bounced XXXX debit transactions of mine that came all together to a little over XXXX You made almost XXXX $ off of those transactions."
Credit reporting,"I have gone back and forth with both Transunion and XXXX credit reporting agencies. I have disputed and disputed, and they remove some things and then reinsert them again, making my score go down by over XXXX points. I do n't know what to do as the debts they are talking about are in most cases over 7 years old, and in the State of Nevada, credit card debt is only collectible for4 years. They are ruining my credit, and I ca n't get another card to pay off a high interest card with a no interest card. The new ones in question are from long ago charged off credit cards from XXXX. I am attaching a letter sent to them to inform the credit card companies of the charged off nature of the XXXX accounts. They are from XX/XX/XXXX and XX/XX/XXXX."
Consumer Loan,"In XXXX of XXXX I bought a new car. The dealer told me that I would be contacted by Citizen One ( then RBS Citizens ) about the exact amount of each monthly payment and about the exact date each payment would be due. Sometime shortly after that Citizen One sent me my first monthly billing statement. For the next 2 1/2 years Citizen One set a precedent and created an expectation by regularly sending me monthly billing statements. During that time I faithfully made each payment on time and, on several occasions, made monthly payments for several months in advance. For these reasons I relied on receiving my monthly billing statement from Citizen One to know the exact amount of and the exact due date of my next loan installment. In XXXX XXXX Citizen One suddenly and unexpectedly stopped sending me billing statements. I did n't notice ( I had been habituated by their monthly notices and I had been trained to think of sending a payment only after I was notified ) and, as a direct result of Citizen One 's failure to send a monthly billing statement, I was late with my XXXX payment. When their credit department contacted me I sent 2 months payments ( current + one month in advance ) and notified them that I had n't received a statement. Their customer service representative told me that I should have received a monthly billing statement, it was Citizen One 's policy to do so, verified my contact information ( which had n't changed ) and, under the circumstances, waived the {$20.00} fee I had been assessed for being late. She also assured me that I would start to receive monthly billing statements again. Unfortunately, I did not. Nor did I notice. As a result of that failure on the part of Citizen One I was again contacted in XXXX by their credit department that I was late again. I immediately made 2 months payments ( current + one month in advance ) and pled with their customer service department to please get a monthly billing statement to me. Mail it, fax it, e-mail it - I did n't care. Just get one to me. This time they promised to mail me a paper statement and e-mail me my reminders. To date I have n't received either. As a result I was late again in XXXX. I am not accusing Citizen One of intentionally withholding my monthly billing statements but I find it very suspicious that all of my other mail is delivered without incident. I am never - and I do mean never - late with any of my other bills. I also find it convenient ( and profitable ) that Citizen One gains from their own failure! They are now refusing to waive XXXX {$20.00} late fees. Something is very wrong on their end and it is entirely unfair that I am being penalized for not being sent a monthly billing statement which serves as notification that a loan payment in a specific amount is due. Furthermore, I should not be charged {$20.00} fees when my payment is late as a result of neglect or failure on Citizen One 's part to send me a monthly billing statement. I suspect that I am not the only customer of Citizen One with this problem. I have made exhaustive efforts to remedy this issue with the bank but they are intransigent and so I am filing this compliant to get this situation resolved and, on the principles of being fair and taking responsibility for their part in creating this problem, get the outstanding late fees waived and ensure delivery of a monthly billing statement."
Credit card,"I have a Citi Bank Att Universal credit card for over 13 y years. I can not manage my account on line since the the account is closed and I am not allowed online access. 
I have to contact customer service by phone in order to make changes or discuss my account. My complaint is about the customer service representatives. They are not professional and totally incompetent. I requested to have my automatic payment reduced from {$250.00} per mo. 
to {$120.00} and 3 different representatives assured me ( including a supervisor ) that the change was made but it was not. Since I can not manage my account online I have no recourse but to rely on customer service reps. 
Last night a rep was just telling me anything and I knew it was incorrect. She was a foreignor and she was totally incompetent and even lied about my account. I want to file a formal complaint about Citi Bank and take any necessary steps to do whatever to have this issue resolv resolved for me."
Credit card,"I had gone into a Wells Fargo bank when I lived in XXXX XXXX California because I lost my Debit card, the teller had me meet with one of the managers at his desk, and they tried to talk me into a college credit card I told him I did n't want another credit card and no thank you I just needed a replacement debit card. Two weeks later I received a credit card and a debit card in the mail. I was so aggravated I worked XXXX jobs and was taking XXXX units in college I did n't have time to go to the bank or to sit on the phone right away to cancel the card. Within a couple of weeks I had a small overdraft and it went strait onto the credit card and at that point I knew this was going to show up on my credit report and I was trying to keep my revolving credit low. Since then I have been trying to pay this card off and close the account but it has cause me to have late payments and has just been a devstaing to my creidt and has blocked me from buying the home of my dreams.This card has been nothing but a headache affecting my ability to get a home, and a new car with a good rate this has been haunting me for a little while now. I had gone into the bank since then and told the teller and she stated I would have to call the bank. I was so shocked that someone could do this and they do n't even want to fire the guy, he was there at work that day I went in and pointed him out to the teller and all she said was to call. XXXX"
Bank account or service,"XX/XX/XXXX, I submitted a letter to close my account with Ally Bank. XX/XX/XXXX, having not yet received a check, I called to understand status on XXXX XXXX, 2016. They said they mailed the check and would need to reissue a new check. Given the amount ( over {$190000.00} ), I asked them to expedite whatever paperwork was necessary. On XXXX XXXX, I had still not received any paperwork, so again called. They said they had not done anything as a result of my original request, but would send paperwork via email. Since I was traveling, I did not have access to a printer and the paperwork "" expired '' after 8 hours. The access to the paperwork was laborious at best as it was sent through a secured site. On XXXX XXXX, I called Ally Bank again ( spend another 30 minutes on the phone ) and they again indicated they would send out paperwork which would need to be notarized. They also indicated they had not yet cancelled the check. A few questions : 1 ) Why did they not immediately cancel the check on XXXX XXXX when I originally notifified them the check had been lost? 
2 ) Why did they not send out the paperwork after the XXXX XXXX call? 
3 ) Why does the paperwork expire after 8 hours so the consumer can not get access to their funds. Since I was traveling, this delayed me yet another 2 weeks? 
4 ) Why does the paperwork have to be notarized and why does it have to be sent through a secured site. On XXXX XXXX, the check had not been cashed, so I do not understand why this level of difficulty in getting access to my funds. 
5 ) Are they making the process inordinately difficult in order to keep my funds, in hopes XXXX XXXX not be relentless enough to spend hours on the phone, find a notary, decode a difficult and confusing software to access the paperwork and hope that they expedite my check and actually deliver it this time. 
I work in financial services, and take the CFPB very seriously. I have never made a complaint, but this situation has been so aggregious and so consumer unfriendly, I thought it important to bring it to your attention. I would appreciate any help you can give me to expedite this matter to a close for me and as importantly to provide Ally guidance on how to treat consumers in the future."
Debt collection,XXXX University under the XXXX XXXX umbrella sent me to collections for a debt of {$14000.00}. The school was later sued by your institution forcing them to shut down and sale all of their locations. The collection agency named Jefferson Capital System LLC is trying to collect a large sum of money for a school that lied not only to me but on me. XXXX University attempted to get me to take out a loan from XXXX for {$4700.00} at a 9.9 % interest rate to pay for one quarter. One of their representatives later told me I should take out a genesis loan for the amount of {$11000.00} which would cover the rest of the semester. I refused and explained to them I did n't have the money to pay for a loan. XXXX University locked me out of my online classes and school assigned email accounts. I do n't owe for classes I did not take nor did I finish school. They sent me to collection for not taking out a loan which is something I do not understand.
Debt collection,"This company continues to report on my credit report after I sent them a letter telling them that this account was not mine and I have no idea what it is or who it belongs to! 

I asked for proof of a signed contract, I asked for a license to collect in my state, I asked for copies of all information referenced for this debt and still to date, I have not received anything but harassment from this company!"
Debt collection,"I was contacted by a collection agency for defaulted student loans. I was offered rehabilitation in XXXX XXXX. I agreed and was sent paperwork to sign and return and an automatic payment was set-up. In XXXX XXXX I was contacted and told my loan agreement was not returned. I again mailed the paperwork I had received from the agency. I thought that this was strange because my income/expense information and my payment information were both "" received '' and in effect at the time of the call in XXXX. In XXXX XXXX, I was contacted again by the same agency and told that my loan was not in rehabilitation because my paperwork had not been received. I had at this point made 10 consecutive payments. I agreed to re-sign and submit the documents again. I did so. My new address ( across the country ) was shown on the documents I electronically signed. I was contacted again in XXXX. XXXX. I was told again that my documents had not been returned and that I was not in rehabilitation. At this point, I have made 18 consecutive payments. The agency sent my "" loan agreement '' ( which is the most important document of the bunch ) to my former address even with my correct address on the income/expense and other documents. I am trying to qualify for a home loan and I show that I am still in default. The agency wants me to re-sign the documents for a 3rd time in order for me to begin the rehabilitation process. By the time it is finished, assuming that this time they will send me ALL of the documents I need to complete this program, it will have taken me 27 months to "" complete '' the rehabilitation process. The agency is telling me now that my options are to try to begin again and they have assured me that I will get all of the documents "" this time '' or to pay the full balance and still have the default notation which may prevent me from being able to qualify for a home loan until another 9 months has passed or even longer to wait for the notation to be removed. I was told that if I had returned the "" loan agreement '' then this would not be a problem. But I do n't think I have ever been sent one. This agency sends documents to "" qualify '' for the program including setting up a payment then is supposed to send a "" loan agreement '' to be signed and returned. However the only things I have received from this agency are the "" qualifying '' documents and the monthly notice of the payment."
Debt collection,"This complaint is being filed against Stellar Recovery in regards to the above reference account that Stellar Recovery Inc. Has illegally reported and listed on all XXXX major credit reporting agencies ( XXXX ). Please be advised that this is not a refusal to pay, but written notice sent in pursuant to the Fair Debt Collection Practices Act, 15USC 1692g Sec. 809 ( b ) that your claim is disputed and VALIDATION is requested. 
This is not a request for "" Verification '' or proof of my mailing address, but a request for "" VALIDATION '' made pursuant to the above named Title and section. I respectfully request that your offices provide me with competent evidence. 
Please provide me with the following : What the money you say I owe is for ; Explain and show me how you calculated what you say I owe ; Provide me with copies of any documents that show I agreed to pay what you say I owe ; Identify the original creditor ; Prove the Statute of Limitations has not expired on this account ; Show me that you are licensed to collect in my state ; Provide me with your license numbers and Registered AgentAt this time I will also inform you that if your offices have reported invalidated information to any of the XXXX major credit bureaus ( XXXX ) this action might constitute Fraud under both federal and state laws. Due to this fact, if any negative mark is found on any of my credit reports by your company, or companies that you represent. I will not hesitate in bringing legal action against Stellar Recovery Inc. for the following : Violation of the Fair Credit reporting Act Violation of the Fair Debt Collection Practices Act Defamation of character"
Debt collection,"On XX/XX/2016 I called XXXX UVerse to cancel XXXX at XXXX, XXXX, KS XXXX. I was given cancellation confirmation number XXXX and a final payment confirmation XXXX and paid a final payment of approximately {$55.00}. The service was cancelled on XX/XX/2016. On XX/XX/2016 I received a call from Diversified Consultants, a collection agency, stating that I owed an additional {$150.00}! Diversified Consultants also told me that the "" bad debt '' would end up on my credit report if a payment was n't made that day. Worried and fearful of damage to my credit history ( which is perfect ), I made the payment for {$150.00} over the phone using my credit card. 

On the same day, after reviewing my notes ( and discovering that I had received confirmation numbers for my cancelation of service and final payment ), I called Diversified Consultants back and asked for a refund because I had previously paid XXXX XXXX XXXX the final amount. I was told the {$150.00} had already been sent XXXX & XXXX there was n't anything they can do to help me. I then contacted XXXX XXXX XXXX and at first they claimed the charge was for unreturned equipment and later claimed it was an early termination fee. After looking into both issues, theydetermined the equipment was returned and there was n't an early termination fee.Eventually they stated theycredited my account back {$99.00} but would not refund me the entire {$150.00}. I have now discovered that XXXX XXXX XXXX credited the CLOSED account {$99.00}, and XXXX XXXX XXXX is now claiming that the {$99.00} can not not be transferred to my active home account! 

XXXX XXXX XXXX and Diversified Consultants have violated the FDCPA and I am demanding the full {$150.00} back from XXXX XXXX XXXX. I did not ever owe XXXX XXXX XXXX or Diversified any funds and the XXXX should have not have called me and threatened to hurt my credit if I did not pay debt I did not owe. 

I demand a full refund via wire to my checking account, or a check issued in my name. 

Sincerely, XXXX XXXX"
Credit reporting,"My concern is with Citcards XXXX Score information on their website. Their website is showing an inaccurate XXXX Score, they state that two situations impacted my score which are, late payments and missed payments and oldest account is to recent. Citibank receives this information from XXXX. I pulled my most recent credit file from XXXX and it does n't show any late payments nor missed payments, also my oldest account is XXXX years old. I called XXXX and they said I ca n't dispute anything because there is nothing to dispute and told me to call Citibank, Citibank tells me that they ca n't do anything because the information is from XXXX and that I need to dispute it with them, my credit file has nothing inaccurate to dispute, also other banks provide similar service and their scores are totally different for example ; XXXX score is XXXX, XXXX XXXX score is XXXX, but Citibank is showing XXXX, this problem has impacted my APRs on my credit cards from Citibank from 9 % to 16.24 %."
Consumer Loan,"I had several XXXX XX/XX/XXXX,XX/XX/XXXX and XX/XX/XXXX. Prior to my account becoming late, I contacted the Toyota Financial. I was told that I would be able to put the payments that I would miss on the end of the loan, so my account would not go late and would remain current. I was assured by the representative this would not result in me being reported late. It would however, result in my loan being extended. I agreed with the assurance that my credit would not be late. Nevertheless, I was given the wrong information, and Toyota reported my account late. I have tried the last 8 months to no avail. I was duped into extended my loan and the item being reported late on my credit."
Bank account or service,"Naval Federal Credit union fail to pay bill as though their bill pay service as agreed resorting in my credit going bad they told me they was going to depute the reporting to each reporting company and did not also was to send me a copy of what they did and have not done so this was done to hurt my credit and then refused to help resolve the issue they made and lied about it which is why they did it intentionally They resent me letters to send to the bill of company 's they did n't pay instead they need to send them to company 's them self instead of sending them to me They need to fit this mess, the y told me they had sent a letter to the report company 's and did not, the left my account as if payments were being made instead my bills became slate and late fees was charged they claim it was due to fraud activity in my account but some the bills was paid and some was not if was do to fraud activity why was some bill was paid and some was not, the money has left my account so where did it go I have asked the question before to date no answer. They lied about what happen and did nothing to fix it and lied about the cause, I want to know where my money went. And they correct my credit I get approve for nothing the refer to the late payments caused by Navy Federal Credit Union."
Mortgage,"This loan closed as a short sale with XXXX XXXX XXXX on XXXX/XXXX/16. The file closed, XXXX XXXX XXXX was paid, there was no money owing to them. Then recently the loan was transferred/sold from XXXX to Selene Finance. The loan should not have been transferred. Selene is now contacting the seller requesting payment and have not confirmed that the loan is paid. They are threatening foreclosure too."
Debt collection,Called several times a day. Some of the charges in the overdue account are due to cramming and therefore they can not assert that I do not owe these charges
Debt collection,"The Indiana Department of Revenue contacted me recently, claiming that I may owe back taxes from 2011. However, I was a resident of another state that year, and paid my taxes there in full and on time. I wrote back with a letter attesting to this fact, with my state tax return attached. Although I responded before the indicated deadline, my response has been mostly ignored. Instead, I received XXXX subsequent letters within about a month, demanding payment as part of a tax amnesty program by XXXX XXXX. Otherwise, I was warned that I would be subject to double penalties, civil, and criminal liabilities. Subsequent calls to the Indiana DOR after each letter acknowledged the receipt of my original response. However, it has gone unread to date, and thus failed to affect these collection efforts. 

I recently learned that XXXX letters like the ones I received were sent out to innocent people. Indiana 's government contracted with Navient Corporation, and agreed to pay them based on how much money they bring in : XXXX"
Debt collection,This is a matter of false claims and it does have to with other violations that have been committed here and everyone also involved in this matter.as documented evidence proves which I am more then happy to sit down to discuss this with an agent like I have with the OIG because since there is fraud alleged here and a lot of retaliation has occurred here it would be best for me to meet with and sit down with a federal so the agent can see for them self to what is going on here and what I have been through to date.
Credit reporting,Equifax is refusing to remove the CH XXXX bankruptcy from my credit file. I filed back in XXXX XXXX so the public record should have been removed on XXXX XXXX. I called them last week and I was told that they would not remove it and would stay on my file until XXXX XXXX.
Debt collection,"I 've sent multiple letters to this agency about this not being my account. After being advised by identitytheft.gov I 've completed and sent a fraud affidavit via certified mail. I can see they received it but nothing has changed. See supporting documents. even the USPS tracking. 

I am a victim of identity theft and noticed a collection from NCC BUSINESS SERVICES I 've attempted to dispute multiple times however no response on their end. Not sure what else to do. Police department told me to contact the federal trade commision which I wrote a formal complaint against NCC BUSINESS SERVICES in regards to this matter. The FTC also instructed me to complete a id theft affidavit through identity theft.gov. Attached is my document. Thank you"
Debt collection,I recently sent a letter to this company asking for them to stop contacting me in regards to whatever it is that they keep calling me about because I have no idea what it pertains to.
Student loan,"I am a currently a XXXX ( not working ) and XXXX. Ten years ago The State of California Department of Rehabilitation and I entered into an agreement that they would retool me for working from home. In the process of their program, I ran to the limit of Federal Education Loans, and took a Private Student Loan from Sallie Mae. The State had promised to find me work upon completing their program. My XXXX conditions worsened, and the State of California released XXXX XXXX individuals ( I being one of them ) from its program to "" save money '' for the State ( at that time in bad fiscal condition ). My Federal Loans were forgiven as part of my deteriorating XXXX situation, but Sallie Mae would not forgive my loans based on the fact that I knew I was XXXX when I applied for the loan ( even though that was not a factor in the application ). When I explained that my health had continued to disintegrate, they refused to accept this despite letters from my medical providers. My loan continues to grow with fees. I have no savings or any means to repay XXXX or settle with them. Also, I now have the XXXX loan on my credit report. This is a very black mark as I am definitely not a shirker of my responsibilities -- having once been an educator at the university level. I repaid my earlier XXXX loans. However, my current income ( {$1600.00} a month ) is hardly covering my living expenses. I did not get the opportunity to try to work because of the economic downturn. I had to go bankrupt because of accumulated medical expenses from the period that I could n't get insurance because I had preexisting conditions. I am an XXXX XXXX, and I ca n't get any kind of credit line to boost my credit worthiness ( for renting ) because of the bankruptcy, and, more significantly because of the student loan non-repayment. Sallie Mae has been horrible about this ( well-documented by others in a similar position ). I am now "" in collection, '' but have nothing they can levy. I have been unable to work since 1995, and the State of California 's rehab opportunity that they would find me work did not materialize. I feel Sallie Mae has violated my rights as a XXXX individual. I have stopped communicating with them as it seems a hopeless situation."
Credit reporting,No matter what web site I use they can not pull a credit report or score for me.
Credit card,Macy 's American Express card limit was decreased for no apparent reason. The card was overpaid accidentally and used to bring the balance back to XXXX. A week later the limit was decreased from {$10000.00} to {$500.00}. This will negatively impact my credit FICO score which is in the XXXX range ; no lates ; with a XXXX % credit usage.
Mortgage,"( To preface this may be nothing but it is from Seterus and I do n't trust them. ) Seterus sent a letter on XXXX/XXXX/15 saying there was an escrow deficiency, they discovered this because they FINALLY paid my insurance and property taxes ( which you helped me with ). I could pay {$1000.00} or just have it go on my mortgage as a higher mortgage payment. Old payment XXXX for P and I and Escrow XXXX new payment P and I XXXX Escrow XXXX and escrow shortage is XXXX with a new payment of XXXX. Not sure why the escrow went up almost {$20.00} and also a new payment of {$17.00} added on. I have read that they mess around with the escrow to rip people off. Total insurance and Prop taxes are XXXX. If they did n't get a payment from me in 30 days for the full payment they would assume I wanted it added to the mortgage payments. Address to send it to was Seterus XXXX. XXXX XXXX XXXX, CA XXXX. 
Today XXXX/XXXX/2015 I got a letter from them saying We recently sent you a shortage of Deficiency Payment coupon with an incorrect payment address. If you already sent your payment to the incorrect address, it will be returned to you. Please resend it to Seterus, Inc., XXXX XXXX XXXX : XXXX XXXX, CA XXXX immediately. To accommodate this, we have extended the due date to be 60 days from the original letter date with no late fee. Number they give is XXXX. The letter was sent from XXXX XXXX, XXXX. They have a physical address in XXXX Oregon, Payments to be sent to the address I gave you and Correspondence to XXXX XXXX XXXX XXXX XXXX. The whole thing seems very suspect. I wrote them a letter enclosing all of my correspondence with them and told them I was contacting your organization because they have been so slimy in the past. Thanks, XXXX"
Credit card,"I was charged {$170.00} for renewal of a credit card that I did not need or use. At the time I was cancelling the card I was led to believe that the "" points '' associated with that card would remain intact for me to use for the purposes that were available ( airfare, hotels, etc ). However after the card was cancelled I found that I had forfeited all of my points. The value of these points on a "" cash out '' basis would have been about {$1200.00} which clearly had I known about would not have exchanged for the {$170.00} the bank wanted to charge and which I chose not to pay. My telephone conversation with the customer service agent was recorded. At no time did he indicate to me that I was going to lose my existing balance of earned points under that card account."
Bank account or service,"I had a XXXX mortgage loan with XXXX XXXX. The loan changed hands several times and ended up being serviced by Nationstar Bank. In XXXX 2011, I refinanced and rolled the XXXX mortgage into my first mortgage and at the time Nationstar released the lien. I recently discovered that they missed the original lien release naming XXXX XXXX and I 've been working with them for several weeks now to have that release sent to the XXXX XXXX XXXX 's office. Each time I call, they tell me the paperwork is in progress or waiting for signature. I spoke with their customer service rep last week and was told a supervisor would call to update the status of the release but I did not receive the promised call. Nationstar needs to release instrument number XXXX. Since this has not been done and I am not receiving promised calls, I spoke with XXXX @ the FDIC and she suggested I file a complaint with you. Is there anything you can do to get this paperwork finalized for me? I have been approved for an equity loan that is being held up by this lien. 

XXXX XXXX XXXX XXXXXXXXXXXX"
Mortgage,"In XXXX XXXX my wife and I applied through the Michigan Hardest Hit for assistance with our mortgage due to a reduction in income and layoffs and XXXX XXXX the Michigan Step Forward program approved us for a pay down off {$24000.00} on our principle mortgage balance. At the same time we applied with Select Portfolio Services our mortgage company to refinance the balance of our mortgage to reduce the rate and payment. We sent all our current tax returns, paystubs, bank statements, paid property taxes, proof of insurance and a written letter from my wife 's employer and was told bu Select Portfolio they would not accept the pay stubs and letter because they were hand written, we were also told that they would not accept my wife 's XXXX as verification of employment. My wife has worked for the same company for over 6 years and has kept her stubs until she receives her XXXX and we file our taxes. All we want to do is refinance our mortgage to lower the rate and payments."
Debt collection,I have not been contacted about this negative balance. I believe its through Alpine Credit or XXXX. This account was positive before I closed it and I do not understand why its still negative. I would like to get this issue resolved immediately because it is affecting my credit score immensely. I have had no debt collector call me or any mail correspondence delivered to me.
Credit card,"My wife used her Bank of America ( BOA ) credit card to book a hotel room in XXXX. She was half way there and had to return due to bad weather ( snow ). When she returned the hotel was ok with cancelling the reservation and understood. The hotel could not do anything since it was booked thru XXXX. My wife called XXXX and explained the situation. They told her she had to have permission from the hotel. She said she did and went in circles with XXXX for some time. She even called back with both parties from XXXX and the hotel on the line with her at the same time. XXXX still refused to remove the charge and wanted to charge us in full. We filed a complaint with BOA and they held the charge for investigation, then sent us a letter saying it was resolved, then removed the charge. We thought we were done when we saw the charge appear again several months later. BOA said we were accidently credited twice. We pulled our statements and got back to them to say that they were incorrect. They agreed and said that the charge would be removed. We then got a letter from BOA saying that they were going to proceed with the charges from XXXX. My wife spent at least 6 hours total on the phone with all parties to get this resolved, but had no luck. Complete lack of customer service by all parties. We will be getting rid of our BOA credit card ( after having it for about 16 years ) and will certainly never use XXXX again."
